status,avgMeasuredTime,avgSpeed,extID,medianMeasuredTime,TIMESTAMP,vehicleCount,_id,REPORT_ID
OK,78,48,996,78,2014-02-13T11:30:00,3,190328,178847
OK,78,48,996,78,2014-02-13T11:35:00,5,190777,178847
OK,85,44,996,85,2014-02-13T11:40:00,5,191226,178847
OK,100,37,996,100,2014-02-13T11:45:00,5,191675,178847
OK,94,40,996,94,2014-02-13T11:50:00,5,192124,178847
OK,93,40,996,93,2014-02-13T11:55:00,9,192573,178847
OK,103,36,996,103,2014-02-13T12:00:00,8,193022,178847
OK,103,36,996,103,2014-02-13T12:05:00,5,193471,178847
OK,92,41,996,92,2014-02-13T12:10:00,8,193920,178847
OK,92,41,996,92,2014-02-13T12:15:00,7,194369,178847
OK,69,54,996,69,2014-02-13T12:20:00,1,194818,178847
OK,104,36,996,104,2014-02-13T12:25:00,3,195267,178847
OK,85,44,996,85,2014-02-13T12:30:00,7,195716,178847
OK,90,42,996,90,2014-02-13T12:35:00,7,196165,178847
OK,92,41,996,92,2014-02-13T12:40:00,7,196614,178847
OK,87,43,996,87,2014-02-13T12:45:00,5,197063,178847
OK,93,40,996,93,2014-02-13T12:50:00,4,197512,178847
OK,98,38,996,98,2014-02-13T12:55:00,5,197961,178847
OK,87,43,996,87,2014-02-13T13:00:00,12,198410,178847
OK,83,45,996,83,2014-02-13T13:05:00,8,198859,178847
OK,87,43,996,87,2014-02-13T13:10:00,3,199308,178847
OK,79,47,996,79,2014-02-13T13:15:00,2,199757,178847
OK,75,50,996,75,2014-02-13T13:20:00,4,200206,178847
OK,74,51,996,74,2014-02-13T13:25:00,3,200655,178847
OK,90,42,996,90,2014-02-13T13:30:00,2,201104,178847
OK,96,39,996,96,2014-02-13T13:35:00,5,201553,178847
OK,91,41,996,91,2014-02-13T13:40:00,8,202002,178847
OK,80,47,996,80,2014-02-13T13:45:00,8,202451,178847
OK,80,47,996,80,2014-02-13T13:50:00,8,202900,178847
OK,91,41,996,91,2014-02-13T13:55:00,6,203349,178847
OK,100,37,996,100,2014-02-13T14:00:00,8,203798,178847
OK,99,38,996,99,2014-02-13T14:05:00,11,204247,178847
OK,97,38,996,97,2014-02-13T14:10:00,10,204696,178847
OK,101,37,996,101,2014-02-13T14:15:00,10,205145,178847
OK,107,35,996,107,2014-02-13T14:20:00,9,205594,178847
OK,65,58,996,65,2014-02-13T14:25:00,1,206043,178847
OK,77,49,996,77,2014-02-13T14:30:00,5,206492,178847
OK,83,45,996,83,2014-02-13T14:35:00,3,206941,178847
OK,78,48,996,78,2014-02-13T14:40:00,5,207390,178847
OK,79,47,996,79,2014-02-13T14:45:00,6,207839,178847
OK,87,43,996,87,2014-02-13T14:50:00,7,208288,178847
OK,75,50,996,75,2014-02-13T14:55:00,8,208737,178847
OK,75,50,996,75,2014-02-13T15:00:00,9,209186,178847
OK,83,45,996,83,2014-02-13T15:05:00,11,209635,178847
OK,88,42,996,88,2014-02-13T15:10:00,6,210084,178847
OK,81,46,996,81,2014-02-13T15:15:00,10,210533,178847
